"StichtagDatJahr","AlterVSort","AlterVCd","AlterV05Sort","AlterV05Cd","AlterV05Kurz","AlterV10Cd","AlterV10Kurz","AlterV20Cd","AlterV20Kurz","SexCd","SexLang","SexKurz","KreisCd","KreisLang","QuarSort","QuarCd","QuarLang","HerkunftSort","HerkunftCd","HerkunftLang","AnzBestWir"
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","7","Kreis 7",72,"072","Hottingen",1,"1","Schweizer*in",35
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","7","Kreis 7",72,"072","Hottingen",1,"1","Schweizer*in",32
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","7","Kreis 7",72,"072","Hottingen",2,"2","Ausländer*in",7
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","7","Kreis 7",72,"072","Hottingen",2,"2","Ausländer*in",13
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","7","Kreis 7",73,"073","Hirslanden",1,"1","Schweizer*in",13
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","7","Kreis 7",73,"073","Hirslanden",1,"1","Schweizer*in",17
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","7","Kreis 7",73,"073","Hirslanden",2,"2","Ausländer*in",2
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","7","Kreis 7",73,"073","Hirslanden",2,"2","Ausländer*in",4
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","7","Kreis 7",74,"074","Witikon",1,"1","Schweizer*in",23
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","7","Kreis 7",74,"074","Witikon",1,"1","Schweizer*in",27
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","7","Kreis 7",74,"074","Witikon",2,"2","Ausländer*in",10
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","7","Kreis 7",74,"074","Witikon",2,"2","Ausländer*in",9
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","8","Kreis 8",81,"081","Seefeld",1,"1","Schweizer*in",13
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","8","Kreis 8",81,"081","Seefeld",1,"1","Schweizer*in",15
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","8","Kreis 8",81,"081","Seefeld",2,"2","Ausländer*in",8
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","8","Kreis 8",81,"081","Seefeld",2,"2","Ausländer*in",11
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","8","Kreis 8",82,"082","Mühlebach",1,"1","Schweizer*in",16
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","8","Kreis 8",82,"082","Mühlebach",1,"1","Schweizer*in",10
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","8","Kreis 8",82,"082","Mühlebach",2,"2","Ausländer*in",1
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","8","Kreis 8",82,"082","Mühlebach",2,"2","Ausländer*in",4
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","8","Kreis 8",83,"083","Weinegg",1,"1","Schweizer*in",11
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","8","Kreis 8",83,"083","Weinegg",1,"1","Schweizer*in",12
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","8","Kreis 8",83,"083","Weinegg",2,"2","Ausländer*in",5
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","8","Kreis 8",83,"083","Weinegg",2,"2","Ausländer*in",11
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","9","Kreis 9",91,"091","Albisrieden",1,"1","Schweizer*in",38
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","9","Kreis 9",91,"091","Albisrieden",1,"1","Schweizer*in",50
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","9","Kreis 9",91,"091","Albisrieden",2,"2","Ausländer*in",30
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","9","Kreis 9",91,"091","Albisrieden",2,"2","Ausländer*in",30
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","9","Kreis 9",92,"092","Altstetten",1,"1","Schweizer*in",75
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","9","Kreis 9",92,"092","Altstetten",1,"1","Schweizer*in",71
